,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/4h52MPCFvx56uhmH254Uqz'},"{'href': None, 'total': 124653}","['drill brasileiro', 'grime brasileiro', 'trap carioca']",https://api.spotify.com/v1/artists/4h52MPCFvx56uhmH254Uqz,4h52MPCFvx56uhmH254Uqz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb12f5474ca2b4444baa03a8ff', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517412f5474ca2b4444baa03a8ff', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17812f5474ca2b4444baa03a8ff', 'width': 160}]",LEALL,57,artist,spotify:artist:4h52MPCFvx56uhmH254Uqz
1,{'spotify': 'https://open.spotify.com/artist/6TPJK8tv3AKKSsw0lENTQk'},"{'href': None, 'total': 21260}",['trap brasileiro'],https://api.spotify.com/v1/artists/6TPJK8tv3AKKSsw0lENTQk,6TPJK8tv3AKKSsw0lENTQk,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6501ac418b9adc62b8054988', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746501ac418b9adc62b8054988', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786501ac418b9adc62b8054988', 'width': 160}]",Nagalli,74,artist,spotify:artist:6TPJK8tv3AKKSsw0lENTQk
2,{'spotify': 'https://open.spotify.com/artist/4bXUaTjc7TQTvLqqCAlfYt'},"{'href': None, 'total': 76544}",[],https://api.spotify.com/v1/artists/4bXUaTjc7TQTvLqqCAlfYt,4bXUaTjc7TQTvLqqCAlfYt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb15b89c31ac62e161d2a2e567', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517415b89c31ac62e161d2a2e567', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17815b89c31ac62e161d2a2e567', 'width': 160}]",Jack Back,47,artist,spotify:artist:4bXUaTjc7TQTvLqqCAlfYt
3,{'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'},"{'href': None, 'total': 26502989}","['big room', 'dance pop', 'edm', 'pop', 'pop dance']",https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,1Cs0zKBU1kc0i8ypK3B9ai,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb75348e1aade2645ad9c58829', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517475348e1aade2645ad9c58829', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17875348e1aade2645ad9c58829', 'width': 160}]",David Guetta,86,artist,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
4,{'spotify': 'https://open.spotify.com/artist/5ChF3i92IPZHduM7jN3dpg'},"{'href': None, 'total': 2260241}","['big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",https://api.spotify.com/v1/artists/5ChF3i92IPZHduM7jN3dpg,5ChF3i92IPZHduM7jN3dpg,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb343c238c9b274c64fd049b59', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174343c238c9b274c64fd049b59', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178343c238c9b274c64fd049b59', 'width': 160}]",Nicky Romero,61,artist,spotify:artist:5ChF3i92IPZHduM7jN3dpg
5,{'spotify': 'https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN'},"{'href': None, 'total': 26801944}","['australian dance', 'australian pop', 'pop']",https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,5WUlDfRSoLAfcVSX1WnrxN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebec40474426f4401a4203dc9f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ec40474426f4401a4203dc9f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ec40474426f4401a4203dc9f', 'width': 160}]",Sia,81,artist,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
6,{'spotify': 'https://open.spotify.com/artist/7iLc4hrjOjQPfg1E3cCHg1'},"{'href': None, 'total': 213109}","['edm', 'pop dance', 'progressive electro house']",https://api.spotify.com/v1/artists/7iLc4hrjOjQPfg1E3cCHg1,7iLc4hrjOjQPfg1E3cCHg1,"[{'height': 1000, 'url': 'https://i.scdn.co/image/ebae979a746db853d4f8f274719a7ab48f6978d3', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/fdccb3a594a8e7787031ce8d5027b62ded1e8a99', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/8241371470d4a6712dcc0f4306850717c062265f', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/600a251c3fd822018cfbc7b48fd280ee9abf16da', 'width': 64}]",Tim Berg,50,artist,spotify:artist:7iLc4hrjOjQPfg1E3cCHg1
7,{'spotify': 'https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6'},"{'href': None, 'total': 23154229}","['edm', 'pop', 'pop dance']",https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6,1vCWHaC5f2uS3yhpwWbIA6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ae07171f989fb39736674113', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ae07171f989fb39736674113', 'width': 160}]",Avicii,79,artist,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
8,{'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'},"{'href': None, 'total': 26502989}","['big room', 'dance pop', 'edm', 'pop', 'pop dance']",https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,1Cs0zKBU1kc0i8ypK3B9ai,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb75348e1aade2645ad9c58829', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517475348e1aade2645ad9c58829', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17875348e1aade2645ad9c58829', 'width': 160}]",David Guetta,86,artist,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
9,{'spotify': 'https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6'},"{'href': None, 'total': 23154229}","['edm', 'pop', 'pop dance']",https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6,1vCWHaC5f2uS3yhpwWbIA6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ae07171f989fb39736674113', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ae07171f989fb39736674113', 'width': 160}]",Avicii,79,artist,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
